Sales Person,total_boxes,total_amount
Andria Kimpton,19730,648214.8099999999
Barr Faughny,19520,830826.91
Beverie Moffet,28027,892421.37
Brien Boise,24738,997326.48
Camilla Castle,16505,628613.13
Ches Bonnell,23070,1022599.96
Curtice Advani,21599,691797.92
Dennison Crosswaite,26862,931849.57
Dotty Strutley,20927,608101.17
Gigi Bohling,19237,742296.51
Gunar Cockshoot,20299,762283.43
Husein Augar,17683,656149.73
Jan Morforth,23360,706585.5
Jehu Rudeforth,22104,708505.03
Kaine Padly,22134,849062.76
Karlen McCaffrey,29553,713832.64
Kelci Walkden,26605,1002929.1
Madelene Upcott,22199,1010028.72
Mallorie Waber,18219,642903.33
Marney O'Breen,24595,836427.63
Oby Sorrel,26390,1017204.12
Rafaelita Blaksland,13091,668865.45
Roddy Speechley,21130,808359.58
Van Tuxwell,20627,974425.09
Wilone O'Kielt,12233,439961.92
